var,inferior,superior,estimate,std_error,z,p,significance
count_acc_50k_mod,-0.729828634,-0.29030631,-0.510067,  0.112125,4549,5.40e-06, ***
count_alt_r_mod,-0.001738933, 0.46500809, 0.231635,  0.119070,1945, 0.05173, .
count_area_km2_mod, 0.308057766, 0.89689589, 0.602477,  0.150217,4011,6.05e-05, ***
count_biomaAmazonia,-4.032500700,-2.05958835,-3.046045,  0.503303,6052, < 2e-16, ***
count_biomaCerrado,-2.662372822,-0.88847136,-1.775422,  0.452534,3923,8.73e-05, ***
count_biomaMarinho,-3.200667850,-1.16362545,-2.182147,  0.519663,4199,2.68e-05, ***
count_biomaMata Atlantica,-3.345774664,-1.52992860,-2.437852,  0.463235,5263,1.00e-07, ***
count_biomaPampa,-3.016157454, 0.15050327,-1.432827,  0.807836,1774, 0.07612, .
count_biomaPantanal,-3.868947987,-0.07282274,-1.970885,  0.968417,2035, 0.04183, *
count_bir_div_mod,-0.047039676, 0.38713376, 0.170047,  0.110761,1535, 0.12472,
count_governestadual,-0.070072444, 0.71415430, 0.322041,  0.200062,1610, 0.10746,
count_governmunicipal,-1.721922317, 2.59631835, 0.437198,  1.101612,397, 0.69146,
count_groupUS,-2.130341799,-1.16536517,-1.647853,  0.246172,6694, < 2e-16, ***
count_pop_50k_mod,-0.186164860, 0.36057145, 0.087203,  0.139476,625, 0.53183,
count_year_mod, 0.214381946, 0.51023840, 0.362310,  0.075475,4800,1.60e-06, ***
zero_acc_50k_mod,-0.185355494, 0.29200641, 0.053325,  0.121778,438, 0.66147,
zero_alt_r_mod,-0.320544368, 0.16947810,-0.075533,  0.125008,604, 0.54569,
zero_area_km2_mod, 0.626062109, 1.09800650, 0.862034,  0.120396,7160, < 2e-16, ***
zero_biomaAmazonia, 0.500534217, 2.33748187, 1.419008,  0.468618,3028, 0.00246, **
zero_biomaCerrado,-0.099910045, 1.66287609, 0.781483,  0.449699,1738, 0.08225, .
zero_biomaMarinho, 0.942273134, 3.02752810, 1.984901,  0.531963,3731, 0.00019, ***
zero_biomaMata Atlantica, 0.215720294, 1.91854360, 1.067132,  0.434402,2457, 0.01403, *
zero_biomaPampa,-0.534903851, 2.76058445, 1.112840,  0.840701,1324, 0.18560,
zero_biomaPantanal,-1.382368279, 3.79922127, 1.208426,  1.321858,914, 0.36062,
zero_bir_div_mod,-0.206901768, 0.21011057, 0.001604,  0.106383,15, 0.98797,
zero_governestadual,-3.338438818,-2.35435820,-2.846399,  0.251046,11338, < 2e-16, ***
zero_governmunicipal,-7.365205582,-4.29172962,-5.828468,  0.784064,7434, < 2e-16, ***
zero_groupUS,-3.813774982,-2.81035430,-3.312065,  0.255979,12939, < 2e-16, ***
zero_pop_50k_mod, 0.159977334, 0.65145655, 0.405717,  0.125380,3236, 0.00121, **
zero_year_mod, 0.170448053, 0.48559062, 0.328019,  0.080395,4080,4.50e-05, ***
